Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional)
"From a teen in the U.S.: ever since I was young, in school i skimped on my school work. The main I way I would pass the grades is doing some homework and aceing the tests. i never study and don’t focus too much on the teacher when they are talking. due to this, my hand writing is awful and writing for too long hurts my hand since i’m not used to writing a lot for school.",,No Distortion,
"From a young teen in Israel: So… i feel weird.. i don’t know how to contact people like others do… i get depressed because of it and i say “i wanna die” to my new class mates who are kinda cool, i think they annoyed from me because im not that popular i almost didn’t had friends before that i can talk about life with them, my parents never listen to me and don’t understand me. i got bullied in middle school because i was diffrent and didn’t had friends.","i get depressed because of it and i say “i wanna die” to my new class mates who are kinda cool, i think they annoyed from me because im not that popular i almost didn’t had friends before that i can talk about life with them, my parents never listen to me and don’t understand me.",Mind Reading,
"I am wondering if this is normal or something that I should be concerned about (To be clear, I’m not afraid for safety.), if it’s an issue that needs attention. My husband has ocd, ADHD, and a mild form of turrets. He doesn’t like wetness (no wet kisses, absolutely zero desire to have anything to do with a vagina). He’s a butt liking guy. He seems to be put off by sex itself as he wants to converse the entire time about my thong and sometimes even pretending to have one of us get shot or stabbed in the belly. Nothing can be mentioned about sex. It’s all about the thong, and scenarios of getting stabbed or shot. He can’t keep an erection without this. It’s so unfulfilling for me as I only have my imagination that he’s being normal, passionate and enjoying all of me in bed. For me to get anywhere myself, I need this imagination and certain maneuvers for stimulation. When he requires constant talking from me, I can’t even have that. (Though he gets upset if I don’t climax first. This gentleman way of letting the girl go first is sweet, but he doesn’t help in any way other than thrusting. I’ve tried to talk about it, it’s like asking a favor that he can’t stand doing, which kills it.) I don’t know why he is so put off by sex and my female parts. I know it’s not me. I know that I am fun, kinky, clean and full of passion. There has got to be something that is making him like this, either from a genetic reason or an experience in his life, or both. I need advice and someone to help me understand what it is that he has, a mental or sexual disorder? He’s also a high functioning alcoholic and mentally and psychologically controlling and abusive sometimes as well, if that information helps. I need to understand what I’m dealing with here as I don’t know what to do.","I don’t know why he is so put off by sex and my female parts. I know it’s not me. I know that I am fun, kinky, clean and full of passion. There has got to be something that is making him like this, either from a genetic reason or an experience in his life, or both.",Labeling,Personalization
"From a teen in the U.S.: My mental disturbances have been getting progressively worse, and I am beginning to suspect schizophrenia. I only took notice of these disturbances when I began ruminating over things I had done in the past, and began convincing myself I was going to be arrested for these things. At first I thought it was OCD, because I was diagnosed at a very young age, but now I’ not sure that’s the overall issue.","I only took notice of these disturbances when I began ruminating over things I had done in the past, and began convincing myself I was going to be arrested for these things.",Magnification,
I’m now 4 months together with my girlfriend. We got to know each other during a bike ride. Last couple of moths there were a lot of things that changed in her life. she had a boyfriend since 3 months (me) she started a new job (it’s tough for her because its new and it take a lot of energy) she started an evening education for becoming a win steward (sommelier) and she needs to train for a cycling vacation next year where she needs to cycle 150km each day during 2 weeks.,,No Distortion,
"From the U.S.: I am 13 years old. At the age of 5, a night of 2010 started a 5-6 year long divorce. Our father was abusive, something I hadn’t learned until later. Recently, one of my close friends started to have episodes of depression in school. A few weeks before this, I started feeling emotionally unattached. As if I could shut off my own emotions. And sometimes I feel as if the world is shrouded in black and white, and ask myself why I’m here. Others, to my friends especially, I appear bright and happy, and they never notice what’s happening to me.","thers, to my friends especially, I appear bright and happy, and they never notice what’s happening to me.",Mind Reading,
"I don’t know what’s wrong with me. The other day I was feeling so alone and insecure and for some reason I took I just took a BUNCH of pills I found. I don’t even know why I did it and now I feel so sick. I’ve never done that before and I’m kind of scared. I’ve never actually been diagnosed with depression but it runs in my family. My brother has really bad anxiety and my mom had depression when she was my age and she also had an eating disorder. I took a bunch of online tests and they all said I have severe depression but I know I shouldn’t trust those. I just feel like such a failure and like such a burden on everyone. I’m sad most the time and sometimes whenever I catch myself in a good mood, my mood immediately turns bad like I won’t let myself be in a good mood. I barely ever leave my house except for school and cheer, but my cheer season is over now. I barely have any friends and I never talk to the ones I do have because I feel like they all hate me and think I’m annoying. My grades are getting lower and I don’t even care, I’m just worried about how my parents will react. I don’t have motivation to do anything anymore. I don’t enjoy anything I used to enjoy. I feel like my life is pointless and it wouldn’t make a difference if I was here or not. Sometimes I think about killing myself, but I don’t think I’ll ever have the guts to actually do it. I just want to know if this is normal because my mom told me that all teenagers feel this way.",I just feel like such a failure and like such a burden on everyone.  I barely have any friends and I never talk to the ones I do have because I feel like they all hate me and think I’m annoying. ,Labeling,Mind Reading
"For the past two years my mom has been talking to this guy, A LOT! My dad has had his suspicion about them, but he is able to convince himself that it isn’t true and he denies it is happening. I was looking through her cell phone and saw what some of the messages were to him, and let’s just say they weren’t messages you are supposed to send to a man when you have a husband. My mom also goes on travel a lot with her “job” but I believe she is really going to see him! Plus, I eaves dropped on their conversation and she was telling him that she loved him, that she couldn’t wait to see him, and even worse, at the end of the conversation she said “I love you.” I just can not look at her the same way, I want to scream, tells someone, but I’m afraid she will lie. People will probably believe her over me, because, lately I’ve been going through some trust issues with my dad.","I just can not look at her the same way, I want to scream, tells someone, but I’m afraid she will lie. People will probably believe her over me, because, lately I’ve been going through some trust issues with my dad.",Fortune-telling,
"I don’t know what to do. I have diagnosed anxiety and depression, as well as diagnosed anorexia. I have done outpatient treatment for the past 1.5 years. This is my first year at university but my parents are 25 min away. I really don’t want to do recovery anymore, I am just so tired of it. But my parents are paying for college and staying in recovery is the only way I can continue my education. I am not really progressing with recovery, just kind of floating by. Probably relapsing a bit. I just really don’t want to challenge myself anymore with recovery. whenever I do challenge myself end up hating myself and feeling miserable (to the point of cutting myself). What should I do? If my parents knew how much I am struggling they will put me in Inpatient and that means no more college and I will lose my scholarship. But I cannot continue like I am. All I do is isolate myself. I have absolutely zero friends. I am just so shy and anxious around people and my self-esteem is super low. What should I do? (From Missouri)",If my parents knew how much I am struggling they will put me in Inpatient and that means no more college and I will lose my scholarship.,Fortune-telling,
"My mom left me, my dad, and brother about a year ago. Leaving me to do with my depressed family members and picking up the pieces that’s she broke. Now she’s married with a new friend family stating how she should never been happier. I’m not Sure why I could not maleness her that happy. Now my dad wants to leave me and my brother to give start a new life if we without us saying how we are a burden to take care of. I had a boyfriend for a while who I loved but he left also. All I have is love for all these people but they’ve all left anyways. I don’t understand what’s wrong with me that makes everyone want to leave. I have a hard time even having any sort of friendship or relationship now because i know they will all eventually leave me also. I don’t know what to do with myself anymore I have no motivation to do anything ever. I have a constant pit in my stomach and my heart is always in pain. I want to stop hurting im this way but I do not know where to start and how to continue on with much life even after everyone has left.",I don’t understand what’s wrong with me that makes everyone want to leave. I have a hard time even having any sort of friendship or relationship now because i know they will all eventually leave me also.,Personalization,Fortune-telling
"From an adult woman in the U.S.: I have weight and depression issues related to several traumatic events in my life (accidental death of father many years ago, recent violent death of mother, emotional abuse in former marriage). I also have a stressful job that I don’t love. I’ve been further traumatized by the current political situation in our country, I am very political.","I have weight and depression issues related to several traumatic events in my life (accidental death of father many years ago, recent violent death of mother, emotional abuse in former marriage). I also have a stressful job that I don’t love. I’ve been further traumatized by the current political situation in our country, I am very political.",Mental filter,
"From a young man in the U.S.: It seems like every summer my parents start arguing. At first, we thought it was just normal married problems but when we got older we realized that every summer my mom’s attitude flips and this time has been the worst. While my dad, of course, is not completely innocent my mom seems to be having mental problems that are the basis for the arguing.",,No Distortion,
"I have started to get incredibly aroused by girls that are aged around 9-13yo. I like to go to different swimming pools and cannot stop myself becoming fully erect under my speedos when i see their young, near naked bodies. My fear is that i am a paedophile, being unable to resist rubbing myself against them at every opportunity, especially turned on when i get to rub against their faces, trying desperately to push up against their pretty little mouths. How can i stop doing this before they realise what i am doing?",,No Distortion,
"From a teen in Malaysia: I’m Asian and grew up constantly being compared to other people, especially my sister, in terms of grades, achievements, sports and basically everything. The problem was that i bad at everything, even if i were average, it wasn’t good enough at all.","The problem was that i bad at everything, even if i were average, it wasn’t good enough at all.",Labeling,Overgeneralization
"From a woman in the U.S.: I had a therapist for 8 years and she knew literally everything about me. I had to stop seeing her 3 years ago when I entered a DBT program. I knew in my head it was probably best to move on and not return to her. However, I still miss her terribly. I know she was in my life for a reason, and if I did go back to her, that’s going backwards and I want to move forward. She showed me a love that I’ve never gotten anywhere else. She was probably the most important person in my life – ever.",I knew in my head it was probably best to move on and not return to her.,Should statements,
"Hello. I am a 35 y/o male diagnosed with Asperger’s Syndrome at age 15 and haven’t had many friends in high school and always got picked on and bullied in middle school because I was “different”; and laughed inappropriately. The bullying still scars me deeply to this day. I currently live at home with my parents who are age 58 – 66. I work at a small startup company as a scanning technician since accounting jobs didn’t work out for me. I have been there since June 2012 and everyone there really appreciates my work and currently, everyone speaks to me. The accounting jobs were too complicated due to my autism/social anxiety.",,No Distortion,
"I love my boyfriend dearly but his problem is relating to money. My boyfriend has savings and his own home. I have nothing. But he makes a big issue that I have nothing. He doesn’t like spending. I have to mostly buy food and drinks when we go out. I do not mind, but if he does buy me something he takes it back if he is annoyed. If he does buy a gift he expects me to give him one in return. I do not enjoy going shopping with him as it always ends up with us arguing. He then points out I don’t buy him anything. He does not live with me, but stays every night with me. I have a family to take care of and he does not hardly contribute. But now when he does decide to contribute, he eventually takes it back, even if it is just bread. Sometimes when he buys me a drink he will take it back half way down, or remind me later that he bought me a drink.",I do not enjoy going shopping with him as it always ends up with us arguing.,Overgeneralization,
"I’ve thought of ways to kill everyone I know and don’t know. Normally, I would want to murder with a purpose. For example, all the kids who bullied me and beat me up in school. Lately, I have the urge to murder others that have done nothing to me (like my family) and people I randomly see (strangers on the street). I just see them as the first human beings to practice on. I have killed two cats before, they were my neighbor’s. Her cats went missing a week before she moved out and she and her son look everywhere for them. Little did she know, they were in her tool shed, rotting. I feel like those small creatures aren’t enough for me. I have been wanting to grab the kitchen knives and slit my parent’s and sister’s throats in their sleep. It would be so easy to do. The voices in my head whisper to me and yell at me to do it because they know I can and would. I want to poison them and hurt them. I want all the power. They need to be powerless in order for me to succeed in life. Everyone must have less power than me. My hallucinations are violent and murderous. My voices are the same. If I don’t kill others, the voices will kill me and I don’t want to die. I used to want to die, but I’ve moved on from that. They all deserve to die more than I do, the humans. All humans are monsters and all monsters are human. I am the most human out of anyone I know. They are all monsters and deserve to die. I often have visions of myself hitting people with cars, pushing them in the way of a train, choking them, buying guns to shoot them, carving my name into their flesh with a knife, drowning them, and burning them to death. Is this normal for someone my age (13) to feel like this? Someone said I should be locked up in the mental home. If I were to go there, how would I tell my parents I need to leave?",They need to be powerless in order for me to succeed in life.,Overgeneralization,
"From the U.S.: Hello, my newlywed husband and I have had the fairy tale relationship- a kind I have dreamt about. Recently, his grandmother passed away after a lengthy fight against numerous medical conditions. He was extremely close to her. Originally, I believe he was shocked, and just cried into me. However, a week later, he became angry over the simplest things and threatened to leave me if I didn’t do XYZ (clean the house better, etc.). He had never said anything of the kind before. The next day he apologized and life was back to normal for a week. He said he loves me and can’t wait for our life together and is never going anywhere.",,No Distortion,
"Growing up, I never thought I would be in a long term relationship. I thought maybe I’d have some boyfriends, but nothing serious, I never wanted to get married, have kids, etc. I think part of it was how I was raised- my parents never wanted me to depend on a man, and my mom was a pretty staunch feminist who discouraged me getting involved with boys. Even as I got older, she frequently disapproved of my relationships. But more than that they stressed that I should take care of myself and put me first. It’s helped me be independent and goal-oriented, but sometimes I wonder if it’s also made me a bit selfish and unsuitable for relationships.","It’s helped me be independent and goal-oriented, but sometimes I wonder if it’s also made me a bit selfish and unsuitable for relationships.",Labeling,
"I’m 17 and I’ve been depressed for about 4 and a half years. It all started when my grandmother died, and I had to move to a whole new city and go to a new school. I always had a lot of friends, well like two or three, right now that feels like so much. When I moved I developed a social disorder, I can’t talk to anyone and I have severe anxiety whenever I am around a lot of people especially teenagers. I moved when I was in the middle of 8th grade, I went to a new middle school and I didn’t make any friends and I thought, oh its okay, maybe I’ll make some in high school. But it only got worse. Right after my grandmother died I also started pulling out my hair (trichotillmania) so it made me very self-conscious to the point where I thought I was the ugliest person ever which only made it harder to talk to people.",Right after my grandmother died I also started pulling out my hair (trichotillmania) so it made me very self-conscious to the point where I thought I was the ugliest person ever which only made it harder to talk to people.,Labeling,Magnification
"Hi, im 16 years old and when i was growing up my dad was never around, my mother kept on showing me pictures of him so i can remenber who he is, until i was 7 my dad knocked on the door, i opened it and he just passed right by me. Since then my dad has been living with me and my mom. I didnt notice anything, i was a happy little girl, then when i was 12 and i started my middle school, my grades were straight A’s so my parents were happy? i dont know, they never really showed any kind of emotion,",,No Distortion,
"I get angry a lot for no reason. I even wake up angry sometimes. When I am angry I tend to lash out at my husband. No one else. I love him and I don’t know why I get mad. I’ll get mad if he doesn’t say ‘hi’ to me. Then I’ll be mad for the whole day. There’s this anger in me. It builds up and I can’t control it. Then, at other times, I’ll be very happy. I don’t understand. Sometimes I won’t want to do anything all day but lay in bed. I won’t want to take care of my daughter. (I will take care of her, I just will not want to.) I don’t want to be near her sometimes because I don’t trust myself and I am afraid I will yell at her for no reason. I feel like a useless person. I do work – I have a job, and I enjoy it usually. I do not know why I hate being home, even though I love my husband and daughter so much. It just feels like I sometimes just want to be alone. Completely alone with no one around me. I lash out and curse alot and I do not know why. sometimes I will look for things to make me angry but i don’t know why. i don’t understand what is wrong with me. it doesn’t happen everyday, but at least 2 times a week. Please help me.",I feel like a useless person.,Labeling,
 I am a 35 year old woman and going through a depressing phase of my life. I have been married for over 10 years now and have two young sons. I have known my husband since our school days and we were good friends for about 4-5 years and then our friendship transitioned into a relationship from which he eventually backed out in fear of his mother. But eventually not any significant reasons known to me proposed me later for marriage for which I also agreed as I was in love with him. To me most probable reasons for him proposing me 1. he felt guilty towards me 2. He eventually thought me best suitable out of the proposals he received for marriage and as he knew that I loved him might have thought me to be submissive to him and follow him blindly for whatever he says.,To me most probable reasons for him proposing me 1. he felt guilty towards me 2. He eventually thought me best suitable out of the proposals he received for marriage and as he knew that I loved him might have thought me to be submissive to him and follow him blindly for whatever he says.,Mind Reading,
"When I was young, around 6th grade, I started listening to music while laying down for hours at a time. I would just daydream, the topic was very…dark. I was the star of the day dream and my character was kidnapped and put into human trafficking. She would constantly be raped, tortured, humiliated, and dehumanized and this went on for years. Any moment I could I would slip into this world and the character suffered more and more abuse. It seeped into my dreams and scared me. I did not like this place, but couldn’t stop. Eventually the character was no longer me, my name and face stopped being used. But for all intent and purposes it kinda was still me.",,No Distortion,
"I’ve always loved to play pretend. But now that I’m a teenager, instead of outgrowing it, it’s gotten worse. Now I’ve gotten to the point where it’s an obsession, and I spend more time with my imaginary friends then with real people. I pretend that my favorite characters from movies and TV shows are real, and I talk to myself, both as myself and the character. I have long discussions with myself. I also pretend that they are with me everywhere I go–to the supermarket, to my cousin’s house. I pretend that they’re with me, no matter what I do. Lately, I’ve also been doing something that’s hard to explain: I pretend to be two people (usually myself and my mother, or a cousin, or a made-up person) and have a pretend to have a conversation with them. I pretend that the fiction character is watching me and my mother/cousin/other. Usually, those scenarios involve either a verbal fight, or joking. I’m really concerned because I know this is abnormal and I’m not living a normal life. I’m worried that I’m insane. Please help!",I’m really concerned because I know this is abnormal and I’m not living a normal life. I’m worried that I’m insane.,Labeling,
"From the U.S.: My 16-year-old son has always had friend issues, he struggled with being bullied in junior high and has always spent a great deal of time alone. Now that he is in high school, his Dad and I are getting very concerned. He spends every weekend home playing video games alone. I do not think he is depressed as he doesn’t exhibit the typical warning signs. But he is unhappy and speaks openly about wishing he had more friends.",,No Distortion,
"From a young man in the U.S.: I’ve been working at a nursing home for past 2 years, I’ve had this “thing” where I shut off my emotions and have a cold, icy stare. Well everything was great until we got new workers in our department, that’s when things started getting worse.",,No Distortion,
"I really prefer to be alone. I hate trying to keep up with friends, and I don’t like putting an effort into making them, or finding things in common with other people. I typically don’t connect with people, and I don’t want to. I don’t dislike people, or feel like they are not good enough to be my friend, nor am I concerned that I am not good enough to be theirs. I just really enjoy being alone.",,No Distortion,
"So I’ve got a friend, she’s nice, friendly, and we enjoy the same topics. The problem is that she has depression. She’s constantly ragging on herself and her work and doesn’t believe anything good I say about her. I’ve suggested therapy but she’s stubborn as a rock. My other friend tried to give her a session with our school’s counselor/psychiatrist but she continuously refused and told us that we didn’t understand’ and she was never going to tell anyone her problems’. Quick note: I used to have depression and was sent to a therapist to recover. I mentioned that I had been in her place and knew how she felt. She wouldn’t listen and threatened not being our friend if we didn’t cancel that session. I’m guessing that was because it was in the school and she didn’t want her bullies finding out. I suggested to her therapy with an actual therapist but she refused because her mom would kill her’. How am I supposed to get her mom to help her with her problems? We’re only fifth graders so there’s nothing I can really do, unfortunately… can you help me help her?",,No Distortion,
"Some Questions Regarding Clin. Psych. Careers and Prior Mental Illness. I know that on the surface this looks somewhat like a question that has already been asked by someone, but I really do have some new questions on the subject, so I would appreciate it if you’d be willing to answer!",,No Distortion,
"From the U.S.: Me, my husband and his friends went on a trip a year back. On one of the evening we all drove to a store to buy some stuff. One of the girl (very petite) was taking time to get out of the car and he suddenly picks her up and moved her out of the car. I did not like this action and the moment he did this and looked at me he knew I was pissed. We had an argument and he said he was sorry he and doesn’t know why he did that and will not do this again.",I did not like this action and the moment he did this and looked at me he knew I was pissed.,Mind Reading,
I take invega shot and pill as well as lamictal for schizoaffective disorder. I am wondering why I have seconds of self-talk or talking out loud. Is this med supposed to stop everything or will there be moments like those seconds? It happens once a day. I sometimes say things that didn’t really happen or that I don’t mean. Does this mean that the med has failed? And if so are there other med options.,I sometimes say things that didn’t really happen or that I don’t mean. Does this mean that the med has failed?,All-or-nothing thinking,
I have voices inside my head that tell me what to do and if i don’t listen i begin to have a terrible headache and start to feel drowsy (if it’s severe I lose control over the body and someone else takes over) . Personalities that live inside my head take over the body and I am unable to come out during those times. Some of them have a name and appearance. I don’t have much memories of my childhood and if try to remember I begin to have a terrible migraine so I avoid them. The voices are always with me and they take turns maneuvering the body. They are all nice but there are some that completely take over and harms the body buy trying to choke it or by hitting it. And sometimes all I can do is lie on the floor unable to move a muscle as the voices won’t allow me to take control. Please help me cause I’m scared I’m going crazy.,The voices are always with me and they take turns maneuvering the body.,Overgeneralization,
"From a teen in the U.S.: I’m going to start this with I don’t know how I feel or if anything is wrong with me. I haven’t been diagnosed because I’m afraid of telling my family. I thought i had depression and anxiety because I had many of the symptoms, but lately I’ve been doubting that (because of intrusive thoughts). I also have intrusive thoughts that disturb me a lot (sexual, death, fear of faking it) and they make my life so hard.",I haven’t been diagnosed because I’m afraid of telling my family.,Emotional Reasoning,
"I’ve been diagnosed with psychosis since birth and depression/anxiety. I was in a mental hospital twice for suicide, and i’ve gotten treatment but i stopped and also gave up on therapy. In replacement, i was given herbal chinese medication which seemed to make me much happier yet very angry and sometimes very suicidal. I used to have really bad delusions and believed i had to kill everyone or be killed, confusing reality with made up memories etc and i would become very depressed and emotional but now i just don’t care. i have no interest in things i used to really love, although i dont feel sad. I twitch alot and stare at things for hours and i still repeat conversations out loud, and i noticed i have suddenly forget ppl or cant make out whats in an image like i cant recogize it, same with some words and letters. I’ve had hallucinations since i was young and none of this was weird to me until i was put on meds. Do i have schizophrenia? Do i still have depression or psychosis even tho the herbal doc said i was cured?",,No Distortion,
"I am a senior in college and during the second semester of my freshman year, I met a guy in my chemistry lab. Initially, I hated him because he seemed to act somewhat pompous. But at the beginning of my sophomore year, we began to develop a relationship. Initially, we were just friends and I never really felt any kind of intimate feelings for him. As with any other attractive guy I’ve met, however, I was somewhat shy around him at first but started to feel more comfortable as I got to know him better. But still, we were strictly friends. It wasn’t until the summer between my sophomore and junior year that I realized that I had feelings for him. We spent a lot of time together, as we were both taking the same summer school class. During this summer, I found out a lot about him. I noticed that he didn’t speak about his dad a lot, if at all, and he liked to garden, cook, and was very meticulous about how he looked. I attributed these qualities to the possibility that he was a very proper gentleman, as he surprisingly turned out to be due to the fact that I used to hate him. One of my good female friends met him and immediately told me that he was gay. I disagreed with her. I had remembered him telling me about a girl he dated back in high school, so I assumed him to be straight. But then he had also mentioned that the reason why they broke up was because he told her that they got along better as friends. I’ve heard this excuse from other guys, so it didn’t hint to me that he was gay. During my junior year, he told my aforementioned female friend that he was gay, and she relayed the information to me. My first reaction was denial. I think that I had so severly developed feelings for him, almost on an unconscious level, that I couldn’t bear to believe that he was gay. Later that week though, he told me face-to-face. After that, our friendship didn’t fall apart and I wasn’t distressed. In fact, our friendship strengthened and for a while things were great. I have told him several times that I have feelings for him, and he just laughs it off. I’m not sure if he realizes that I’m serious.","I think that I had so severly developed feelings for him, almost on an unconscious level, that I couldn’t bear to believe that he was gay.",Magnification,
From the U.S.: My father is a widower and also just got out of a destructive relationship. My father is from a time where the woman takes care of the man and he expects others to do the same. My mother was a good woman and she took care of my father until she passed almost 9 years ago.,,No Distortion,
" I have always had a fear of death, after when I was little we lost one of the family pets (We treat them more like family members) and ever since then I have had these strange, at random, panics about me dying, and that I just don’t want my story to end. Its the only fear that i have that does this to me. It happens randomly, I can be watching a TV Show, or just laying down in bed. its weird. On a side note I was hurt by a male family member as a child in a sexual, physical and emotional manner and I do believe this could be the source but I don’t know for sure.","On a side note I was hurt by a male family member as a child in a sexual, physical and emotional manner and I do believe this could be the source but I don’t know for sure.",Overgeneralization,
"I’ve recently been diagnosed with ADHD and bipolar 2. My current psychiatrist had my mother sit in for my appointments for information, and he suggested that my mother was likely ADHD and depressed as well. My mother has always overreacted to stress, has anger issues, never seems ‘there’ and forgetful. My mother’s in her 60s but she’s been like this almost my whole life and I struggle with a lot of the same symptoms, which made my doctor suggest it.",,No Distortion,
"From a dad in Israel: Hi. We have noticed that our 4 year old daughter cries for every little thing, and seems to have trouble expressing here self verbally at home and kindergarten. For example: the other day at kindergarten she stood holding here cup in the kitchen, until the teacher noticed that she was just waiting there, instead of saying she wants a drink or she walked up to the teacher and showed here left over sandwich and wouldn’t tell the teacher she finished or wants to throw it away, the teacher had to ask here a few guessing questions to which she would nod to until she guessed the right one.","We have noticed that our 4 year old daughter cries for every little thing, and seems to have trouble expressing here self verbally at home and kindergarten.",Overgeneralization,
"Hello, before I start this question I’d like to start by saying I do not have a problem with alcohol. I have contacted you before and your feed back was very helpful. As you know I have been suffering from depression for two years but two weeks ago I went for a walk and I had time for a really long hard think and a thought came in my head which i thought i would never think and that thought was why should i feel down and depressed as i have felt like this for too long. I decided i would try to think positive as life is to short to feel unhappy so i tried to blank the negative thoughts out of my head and for the rest of that week i felt something i have not felt in a long time and that was happy and positive and my head felt so clear but as anyone knows who suffers or sufferd from depression it is easy er said than done to think like this that is why this thought was so powerfull and eye opening i dont know where it came from.",,No Distortion,
"I feel I am far too old to be grappling with this at this point in my life. I have a 2 year old, a newborn, a beautiful wife, a mortgage, and am a recent graduate from law school. I can’t stop lying though. The lying has always been for remedial things (telling people I played football when I was really in the marching band, etc.), but it has now infiltrated into all areas of my life. I have lied about past successes in school, work, faith, and general areas of character and integrity. I have been in sales for about 6 years now and I lie to customers about successes, mistakes that I have made, personal accomplishments, etc. I have most recently been caught by my boss lying about making a sales call I really didn’t make, and almost lost my job over it – over something he really wouldn’t have even cared about! I have a wife, a 2 year old, and a newborn who all depend on me, and I feel like I’m selfishly regressing.",I feel I am far too old to be grappling with this at this point in my life.,Should statements,
"To put it simply, because my mother is extremely insecure she controls both my dad’s and my life and prevents us from enjoying things which aren’t focused around her. She prevents my dad from having hobbies because she is insecure about their relationship and thinks that my dad would leave her. He used to play cricket, go bell-ringing, go running but now he doesn’t have any hobbies and doesn’t have much h time for anything other than work because my mother can’t deal with the pressure of work she hasn’t got a very good job and often will take time off. And now that her father is ill, she’s taken even more time off to look after him and puts pressure on my dad to bring more income in. My father is often tired and stressed and my mother gets anxious even more than she used to now that grandpa is very ill and will often take out her anger or stress on us and will make scenes and leave the house for a few days. This isn’t unusual, she would often leave the house when I was young and claim that she was going to divorce my dad on regular basis, tho she never did, when this happened she would act very childishly. She has periods where she’ll be super loving towards me and others when she’s very unkind and insensitive and takes out anger towards me which means I find it hard to trust her, even though I know she isn’t a bad person. At the moment I’m taking my GCSE’s and I also have a Saturday job which means I don’t have as much time to relax, and I’m not allowed to have social media or see my friends very often which frustrates me. I also have a best friend who nearly committed suicide and spending time with them can be damaging to my mental health although I love them to pieces. I have three main problems, my mum, my grandpa and my best friend and I find it hard to have enough time to be there for them and I feel so useless. I’m not sure how to get my mum help because she often denies that she has anxiety and will get very angry, luckily my best friend is getting help and I’m always making an effort to support them and they’re getting better.","To put it simply, because my mother is extremely insecure she controls both my dad’s and my life and prevents us from enjoying things which aren’t focused around her.  He used to play cricket, go bell-ringing, go running but now he doesn’t have any hobbies and doesn’t have much h time for anything other than work because my mother can’t deal with the pressure of work she hasn’t got a very good job and often will take time off.",Personalization,Labeling
"From Singapore: It’s my first time posting on here (I just created an account) and normally I’d give my whole history just to give a better idea of who I am but for now just for context I’m 15, I have Asian parents, I’m in the middle of exam week, running on 4 hours of sleep and a lot of caffeine, (I just came back from sitting for a paper).",,No Distortion,
"My friend has always been a bit different from everyone else but lately, I have seen that he can occasionally talk to himself and also replies. He also has an extremely dark sense of humour and doesn’t really feel emotion (doesn’t feel the need for love and never feels bad for anyone). Although he has never hurt anyone he says he has an urge to which is kinda weird too…",He also has an extremely dark sense of humour and doesn’t really feel emotion (doesn’t feel the need for love and never feels bad for anyone).,Mind Reading,
"Hey i am Ay. from Turkey Istanbul. I will get straight to the point. I used to scare death but this summer i started to not. I dont know why but I actually started to want to be dead. But i was scared that what if i die and nothing gonna happen like all empytness and black screen but sometimes i thought myself maybe i will go heaven and there is god. I searched the internet and i found out that I have anxiety but i dont believe that. I dont know why but i feel like i am going to die. No, i am not going to suicide and never tried that but i kinda feel like it is going to be a traffic accident or someone will kill me. And now i dont fear nothing . I sometimes think of my funeral and ask myself how many people will attempt? I always get sad that my family will cry a lot. My grandma , my mom , my father and my big brother. I dont want to see them sad.I have been feeling these for 3 months and these days i kinda feel like i am in my last days. I am ready to go.","I dont know why but I actually started to want to be dead. But i was scared that what if i die and nothing gonna happen like all empytness and black screen but sometimes i thought myself maybe i will go heaven and there is god.  No, i am not going to suicide and never tried that but i kinda feel like it is going to be a traffic accident or someone will kill me.",Fortune-telling,
"My boyfriend had a “golden shower” fetish and prefers that I do it instead of him masturbating to it. Me and my boyfriend have been together for almost 3 years, and plan on being together for a very long time. A few weeks after we became intimate he told me about his golden shower fetish, but told me that he was only interested in it because of his ex and that he no longer did it. I later found out that it wasn’t true and that his fetish started long before his ex was even in his life. I tried to understand it, and even did it sometimes for him, but now it’s at the point where he only wants me to be the one to do it, and he doesn’t even like watching “his videos” anymore. I’m not into the idea at all. It turns it and me completely off makes such a mess! (I always make him clean it up) If he is expecting it, and it doesn’t happen, he gets upset with me, even though he knows I don’t like to do it.",,No Distortion,
